pathogen_iri	pathogen_label	host_iri	host_label
http://www.pitt.edu/obc/IDE_0000004512	Mycobacterium tuberculosis in Bangladesh	http://www.pitt.edu/obc/IDE_0000000894	humans in Bangladesh
http://www.pitt.edu/obc/IDE_0000004330	Mycobacterium tuberculosis in Lebanon	http://www.pitt.edu/obc/IDE_0000000970	humans in Lebanon
http://www.pitt.edu/obc/IDE_0000004542	Mycobacterium tuberculosis in Ecuador	http://www.pitt.edu/obc/IDE_0000000902	humans in Ecuador
http://www.pitt.edu/obc/IDE_0000004412	Mycobacterium tuberculosis in Bhutan	http://www.pitt.edu/obc/IDE_0000000870	humans in Bhutan
http://www.pitt.edu/obc/IDE_0000004519	Mycobacterium tuberculosis in Lesotho	http://www.pitt.edu/obc/IDE_0000000950	humans in Lesotho
http://www.pitt.edu/obc/IDE_0000004372	Mycobacterium tuberculosis in South Africa	http://www.pitt.edu/obc/IDE_0000000925	humans in South Africa
http://www.pitt.edu/obc/IDE_0000004520	Mycobacterium tuberculosis in Zimbabwe	http://www.pitt.edu/obc/IDE_0000000940	humans in Zimbabwe
http://www.pitt.edu/obc/IDE_0000004396	Mycobacterium tuberculosis in Chile	http://www.pitt.edu/obc/IDE_0000000872	humans in Chile
http://www.pitt.edu/obc/IDE_0000004527	Mycobacterium tuberculosis in Democratic People's Republic of Korea	http://www.pitt.edu/obc/IDE_0000000795	humans in Democratic People's Republic of Korea
http://www.pitt.edu/obc/IDE_0000004427	Mycobacterium tuberculosis in Estonia	http://www.pitt.edu/obc/IDE_0000000921	humans in Estonia
http://www.pitt.edu/obc/IDE_0000004335	Mycobacterium tuberculosis in Bermuda	http://www.pitt.edu/obc/IDE_0000001442	humans in Bermuda
http://www.pitt.edu/obc/IDE_0000004436	Mycobacterium tuberculosis in Namibia	http://www.pitt.edu/obc/IDE_0000000875	humans in Namibia
http://www.pitt.edu/obc/IDE_0000004467	Mycobacterium tuberculosis in Turkey	http://www.pitt.edu/obc/IDE_0000000900	humans in Turkey
http://www.pitt.edu/obc/IDE_0000004342	Mycobacterium tuberculosis in Turkmenistan	http://www.pitt.edu/obc/IDE_0000000914	humans in Turkmenistan
http://www.pitt.edu/obc/IDE_0000004453	Mycobacterium tuberculosis in Monaco	http://www.pitt.edu/obc/IDE_0000000863	humans in Monaco
http://www.pitt.edu/obc/IDE_0000004501	Mycobacterium tuberculosis in Mauritania	http://www.pitt.edu/obc/IDE_0000000912	humans in Mauritania
http://www.pitt.edu/obc/IDE_0000004486	"Mycobacterium tuberculosis in China, Macao Special Administrative Region"	http://www.pitt.edu/obc/IDE_0000001462	"humans in China, Macao Special Administrative Region"
http://www.pitt.edu/obc/IDE_0000004337	Mycobacterium tuberculosis in Grenada	http://www.pitt.edu/obc/IDE_0000000821	humans in Grenada
http://www.pitt.edu/obc/IDE_0000004329	Mycobacterium tuberculosis in Myanmar	http://www.pitt.edu/obc/IDE_0000000941	humans in Myanmar
http://www.pitt.edu/obc/IDE_0000004349	Mycobacterium tuberculosis in Bahamas	http://www.pitt.edu/obc/IDE_0000000968	humans in Bahamas
http://www.pitt.edu/obc/IDE_0000004420	Mycobacterium tuberculosis in Afghanistan	http://www.pitt.edu/obc/IDE_0000000833	humans in Afghanistan
http://www.pitt.edu/obc/IDE_0000004473	Mycobacterium tuberculosis in Uzbekistan	http://www.pitt.edu/obc/IDE_0000000936	humans in Uzbekistan
http://www.pitt.edu/obc/IDE_0000004543	Mycobacterium tuberculosis in Serbia	http://www.pitt.edu/obc/IDE_0000000978	humans in Serbia
http://www.pitt.edu/obc/IDE_0000004452	Mycobacterium tuberculosis in Panama	http://www.pitt.edu/obc/IDE_0000000840	humans in Panama
http://www.pitt.edu/obc/IDE_0000000263	Mycobacterium tuberculosis in the United States	http://www.pitt.edu/obc/IDE_0000000021	humans in the United States
http://www.pitt.edu/obc/IDE_0000004541	Mycobacterium tuberculosis in Cayman Islands	http://www.pitt.edu/obc/IDE_0000001449	humans in Cayman Islands
http://www.pitt.edu/obc/IDE_0000004530	Mycobacterium tuberculosis in Somaliland	http://www.pitt.edu/obc/IDE_0000000931	humans in Somaliland
http://www.pitt.edu/obc/IDE_0000004415	Mycobacterium tuberculosis in Benin	http://www.pitt.edu/obc/IDE_0000000809	humans in Benin
http://www.pitt.edu/obc/IDE_0000004346	Mycobacterium tuberculosis in French Polynesia	http://www.pitt.edu/obc/IDE_0000001552	humans in French Polynesia
http://www.pitt.edu/obc/IDE_0000004380	Mycobacterium tuberculosis in Bosnia and Herzegovina	http://www.pitt.edu/obc/IDE_0000000865	humans in Bosnia and Herzegovina
http://www.pitt.edu/obc/IDE_0000004449	Mycobacterium tuberculosis in Liberia	http://www.pitt.edu/obc/IDE_0000000074	humans in Liberia
http://www.pitt.edu/obc/IDE_0000004388	Mycobacterium tuberculosis in Luxembourg	http://www.pitt.edu/obc/IDE_0000000976	humans in Luxembourg
http://www.pitt.edu/obc/IDE_0000004466	Mycobacterium tuberculosis in Togo	http://www.pitt.edu/obc/IDE_0000000824	humans in Togo
http://www.pitt.edu/obc/IDE_0000004483	Mycobacterium tuberculosis in Iraq	http://www.pitt.edu/obc/IDE_0000000910	humans in Iraq
http://www.pitt.edu/obc/IDE_0000004524	Mycobacterium tuberculosis in Andorra	http://www.pitt.edu/obc/IDE_0000000804	humans in Andorra
http://www.pitt.edu/obc/IDE_0000004422	Mycobacterium tuberculosis in Albania	http://www.pitt.edu/obc/IDE_0000000958	humans in Albania
http://www.pitt.edu/obc/IDE_0000004553	Mycobacterium tuberculosis in Guinea-Bissau	http://www.pitt.edu/obc/IDE_0000000829	humans in Guinea-Bissau
http://www.pitt.edu/obc/IDE_0000004341	Mycobacterium tuberculosis in Libyan Arab Jamahiriya	http://www.pitt.edu/obc/IDE_0000000899	humans in Libyan Arab Jamahiriya
http://www.pitt.edu/obc/IDE_0000004394	Mycobacterium tuberculosis in Bolivia (Plurinational State of)	http://www.pitt.edu/obc/IDE_0000000807	humans in Bolivia (Plurinational State of)
http://www.pitt.edu/obc/IDE_0000004371	Mycobacterium tuberculosis in United Kingdom of Great Britain and Northern Ireland	http://www.pitt.edu/obc/IDE_0000000975	humans in United Kingdom of Great Britain and Northern Ireland
http://www.pitt.edu/obc/IDE_0000004478	Mycobacterium tuberculosis in Kyrgyzstan	http://www.pitt.edu/obc/IDE_0000000966	humans in Kyrgyzstan
http://www.pitt.edu/obc/IDE_0000004416	Mycobacterium tuberculosis in New Zealand	http://www.pitt.edu/obc/IDE_0000000947	humans in New Zealand
http://www.pitt.edu/obc/IDE_0000004374	Mycobacterium tuberculosis in Republic of Moldova	http://www.pitt.edu/obc/IDE_0000000884	humans in Republic of Moldova
http://www.pitt.edu/obc/IDE_0000004423	Mycobacterium tuberculosis in Sao Tome and Principe	http://www.pitt.edu/obc/IDE_0000000964	humans in Sao Tome and Principe
http://www.pitt.edu/obc/IDE_0000004469	Mycobacterium tuberculosis in Romania	http://www.pitt.edu/obc/IDE_0000000797	humans in Romania
http://www.pitt.edu/obc/IDE_0000004521	Mycobacterium tuberculosis in Micronesia (Federated States of)	http://www.pitt.edu/obc/IDE_0000000871	humans in Micronesia (Federated States of)
http://www.pitt.edu/obc/IDE_0000004508	Mycobacterium tuberculosis in Nagorno-Karabakh Republic	http://www.pitt.edu/obc/IDE_0000000911	humans in Nagorno-Karabakh Republic
http://www.pitt.edu/obc/IDE_0000004551	Mycobacterium tuberculosis in Lao People's Democratic Republic	http://www.pitt.edu/obc/IDE_0000000868	humans in Lao People's Democratic Republic
http://www.pitt.edu/obc/IDE_0000004516	Mycobacterium tuberculosis in Belgium	http://www.pitt.edu/obc/IDE_0000000949	humans in Belgium
http://www.pitt.edu/obc/IDE_0000004440	Mycobacterium tuberculosis in Jordan	http://www.pitt.edu/obc/IDE_0000000934	humans in Jordan
http://www.pitt.edu/obc/IDE_0000004400	Mycobacterium tuberculosis in Tuvalu	http://www.pitt.edu/obc/IDE_0000000928	humans in Tuvalu
http://www.pitt.edu/obc/IDE_0000004387	Mycobacterium tuberculosis in Cambodia	http://www.pitt.edu/obc/IDE_0000000922	humans in Cambodia
http://www.pitt.edu/obc/IDE_0000004463	Mycobacterium tuberculosis in Mozambique	http://www.pitt.edu/obc/IDE_0000000962	humans in Mozambique
http://www.pitt.edu/obc/IDE_0000004505	Mycobacterium tuberculosis in Poland	http://www.pitt.edu/obc/IDE_0000000815	humans in Poland
http://www.pitt.edu/obc/IDE_0000004373	Mycobacterium tuberculosis in Viet Nam	http://www.pitt.edu/obc/IDE_0000000961	humans in Viet Nam
http://www.pitt.edu/obc/IDE_0000004509	Mycobacterium tuberculosis in Tokelau	http://www.pitt.edu/obc/IDE_0000001483	humans in Tokelau
http://www.pitt.edu/obc/IDE_0000004429	Mycobacterium tuberculosis in Liechtenstein	http://www.pitt.edu/obc/IDE_0000000803	humans in Liechtenstein
http://www.pitt.edu/obc/IDE_0000004450	Mycobacterium tuberculosis in Malta	http://www.pitt.edu/obc/IDE_0000000856	humans in Malta
http://www.pitt.edu/obc/IDE_0000004378	Mycobacterium tuberculosis in Bulgaria	http://www.pitt.edu/obc/IDE_0000000932	humans in Bulgaria
http://www.pitt.edu/obc/IDE_0000004536	Mycobacterium tuberculosis in Timor-Leste	http://www.pitt.edu/obc/IDE_0000000920	humans in Timor-Leste
http://www.pitt.edu/obc/IDE_0000004491	Mycobacterium tuberculosis in Burkina Faso	http://www.pitt.edu/obc/IDE_0000000953	humans in Burkina Faso
http://www.pitt.edu/obc/IDE_0000004528	Mycobacterium tuberculosis in Austria	http://www.pitt.edu/obc/IDE_0000000820	humans in Austria
http://www.pitt.edu/obc/IDE_0000004537	Mycobacterium tuberculosis in Oman	http://www.pitt.edu/obc/IDE_0000000843	humans in Oman
http://www.pitt.edu/obc/IDE_0000004454	Mycobacterium tuberculosis in Slovakia	http://www.pitt.edu/obc/IDE_0000000897	humans in Slovakia
http://www.pitt.edu/obc/IDE_0000004534	Mycobacterium tuberculosis in Costa Rica	http://www.pitt.edu/obc/IDE_0000000959	humans in Costa Rica
http://www.pitt.edu/obc/IDE_0000004495	Mycobacterium tuberculosis in Mongolia	http://www.pitt.edu/obc/IDE_0000000866	humans in Mongolia
http://www.pitt.edu/obc/IDE_0000004518	Mycobacterium tuberculosis in Seychelles	http://www.pitt.edu/obc/IDE_0000000938	humans in Seychelles
http://www.pitt.edu/obc/IDE_0000004458	Mycobacterium tuberculosis in Belarus	http://www.pitt.edu/obc/IDE_0000000860	humans in Belarus
http://www.pitt.edu/obc/IDE_0000004345	Mycobacterium tuberculosis in Norfolk Island	http://www.pitt.edu/obc/IDE_0000001489	humans in Norfolk Island
http://www.pitt.edu/obc/IDE_0000004331	Mycobacterium tuberculosis in Sweden	http://www.pitt.edu/obc/IDE_0000000926	humans in Sweden
http://www.pitt.edu/obc/IDE_0000004376	Mycobacterium tuberculosis in Spain	http://www.pitt.edu/obc/IDE_0000000882	humans in Spain
http://www.pitt.edu/obc/IDE_0000004370	Mycobacterium tuberculosis in Ethiopia	http://www.pitt.edu/obc/IDE_0000000916	humans in Ethiopia
http://www.pitt.edu/obc/IDE_0000004552	Mycobacterium tuberculosis in Taiwan	http://www.pitt.edu/obc/IDE_0000000816	humans in Taiwan
http://www.pitt.edu/obc/IDE_0000004398	Mycobacterium tuberculosis in Central African Republic	http://www.pitt.edu/obc/IDE_0000000979	humans in Central African Republic
http://www.pitt.edu/obc/IDE_0000004365	Mycobacterium tuberculosis in Tunisia	http://www.pitt.edu/obc/IDE_0000000805	humans in Tunisia
http://www.pitt.edu/obc/IDE_0000004515	Mycobacterium tuberculosis in South Sudan	http://www.pitt.edu/obc/IDE_0000001212	humans in South Sudan
